iter	MAE
0	1.532828226
1	1.510026473
2	1.49348134
3	1.468940387
4	1.449768946
5	1.43041178
6	1.410502196
7	1.394443763
8	1.380155749
9	1.366184151
10	1.356308665
11	1.341694317
12	1.327078309
13	1.31422875
14	1.301994942
15	1.290138964
16	1.280457216
17	1.269567392
18	1.261458377
19	1.25157292
20	1.245134535
21	1.232939303
22	1.22590343
23	1.219918391
24	1.214428032
25	1.20941639
26	1.19889083
27	1.191552875
28	1.186071314
29	1.180064167
30	1.175297891
31	1.171452685
32	1.165110863
33	1.16216985
34	1.156567964
35	1.151060013
36	1.149266971
37	1.1451264
38	1.143378354
39	1.141101568
40	1.137512772
41	1.131481708
42	1.124132186
43	1.116922257
44	1.115673791
45	1.106367732
46	1.104107257
47	1.103244766
48	1.097273416
49	1.094519677
50	1.089384517
51	1.081852924
52	1.075693703
53	1.069069427
54	1.066009538
55	1.063830332
56	1.061218
57	1.059152117
58	1.055434544
59	1.051898285
60	1.048807391
61	1.04625843
62	1.045198787
63	1.041804852
64	1.039527978
65	1.038331393
66	1.036820106
67	1.033015408
68	1.032564277
69	1.030209888
70	1.027621073
71	1.024586144
72	1.020626271
73	1.01960119
74	1.015406913
75	1.01392598
76	1.007421427
77	1.006678848
78	1.006262951
79	1.004622172
80	1.001309716
81	1.000519068
82	0.9976728656
83	0.9963844768
84	0.9952973438
85	0.9932288153
86	0.9915691096
87	0.9909002894
88	0.9905480394
89	0.9889584639
90	0.9882189635
91	0.9838715389
92	0.981746147
93	0.9815329272
94	0.9813362552
95	0.9798380666
96	0.9743311463
97	0.9732410297
98	0.9716850761
99	0.9715165407
100	0.9701563191
101	0.9647544871
102	0.9637633899
103	0.9601981973
104	0.9595605705
105	0.9593752483
106	0.9584161044
107	0.956635113
108	0.9519149799
109	0.9517168816
110	0.9516250523
111	0.949790369
112	0.9493476815
113	0.948411171
114	0.9455144082
115	0.944379609
116	0.944200497
117	0.9420395035
118	0.9397543177
119	0.9392532489
120	0.9378537302
121	0.9369614925
122	0.9345923915
123	0.9344194113
124	0.9330762951
125	0.9311060934
126	0.9282284069
127	0.9267876291
128	0.9260726073
129	0.9227573109
130	0.9226775355
131	0.9207597191
132	0.9189150425
133	0.9172120864
134	0.9161195828
135	0.9158073684
136	0.9144587638
137	0.9137289813
138	0.9105194592
139	0.9041840365
140	0.9014764456
141	0.8995289912
142	0.8993097185
143	0.896553352
144	0.8959892498
145	0.8950824506
146	0.8923427486
147	0.8912342914
148	0.8873464887
149	0.8860313545
150	0.8849057654
151	0.8837351428
152	0.8834439728
153	0.8808719872
154	0.8791756925
155	0.8780784482
156	0.8766363142
157	0.8756144612
158	0.871664131
159	0.8694893155
160	0.8672136998
161	0.8646080823
162	0.8629942115
163	0.8621405423
164	0.8611056068
165	0.8584087645
166	0.8580618924
167	0.8579426563
168	0.8570077504
169	0.8552751892
170	0.8477443833
171	0.8457380438
172	0.843904131
173	0.8421681868
174	0.8402130324
175	0.8389747439
176	0.8370017688
177	0.8335931354
178	0.8319765865
179	0.8305596705
180	0.8296820425
181	0.8288442721
182	0.8272542897
183	0.826261631
184	0.8247954067
185	0.8229865968
186	0.8217087729
187	0.8207617207
188	0.8200138874
189	0.8177986085
190	0.8163532028
191	0.815165674
192	0.8135841699
193	0.8118188257
194	0.8103228841
195	0.8079664832
196	0.8055001236
197	0.8037901585
198	0.800836489
199	0.7970656883
200	0.7950989606
201	0.7933191078
202	0.7918957086
203	0.7895663688
204	0.7887706504
205	0.7875180806
206	0.7867572814
207	0.7848695208
208	0.7831184872
209	0.7808021327
210	0.7799454025
211	0.7792005082
212	0.7769855198
213	0.7755897464
214	0.7750638269
215	0.7736471795
216	0.7718316763
217	0.7707522954
218	0.7690881645
219	0.7680616858
220	0.7663940506
221	0.7654842102
222	0.7644322575
223	0.7634896397
224	0.7626049324
225	0.7622343867
226	0.7611638865
227	0.7598040788
228	0.7573897687
229	0.7563832154
230	0.7550460476
231	0.7536760263
232	0.7524687611
233	0.7510252527
234	0.7487729148
235	0.7483927126
236	0.7479944276
237	0.7465849971
238	0.7454296129
239	0.7428577587
240	0.7406954559
241	0.7385039593
242	0.7370560681
243	0.7344608513
244	0.7324789964
245	0.730225585
246	0.7293719014
247	0.727965755
248	0.7264491146
249	0.725942129
250	0.7232213622
251	0.7225900305
252	0.72207147
253	0.7208056758
254	0.7190458986
255	0.7187263809
256	0.7166909487
257	0.716088156
258	0.7151395138
259	0.71345288
260	0.712932301
261	0.7123101709
262	0.7113615896
263	0.710662632
264	0.7104721152
265	0.7096187057
266	0.7094964532
267	0.7090509125
268	0.7083283449
269	0.7076574779
270	0.7072389991
271	0.7066930465
272	0.7061561361
273	0.7057677745
274	0.7054254466
275	0.7050218503
276	0.703303269
277	0.7021984014
278	0.7013821629
279	0.7008274258
280	0.7000275267
281	0.6990597782
282	0.6985206817
283	0.6984275216
284	0.697952697
285	0.6967937411
286	0.6958861445
287	0.6953762902
288	0.6947352927
289	0.6937714412
290	0.6917606704
291	0.690429878
292	0.6892187504
293	0.6889249009
294	0.6884212201
295	0.6880946976
296	0.6873592087
297	0.6861056314
298	0.685918609
299	0.6853153889
300	0.6849186981
301	0.6845752241
302	0.6835197373
303	0.682891563
304	0.6824847525
305	0.6823121566
306	0.6814778991
307	0.6803498473
308	0.6792649861
309	0.6790838381
310	0.6784905193
311	0.6774723957
312	0.6761200807
313	0.6758933509
314	0.6754853325
315	0.6753478356
316	0.6750994741
317	0.674546285
318	0.674313631
319	0.6732566295
320	0.672753308
321	0.6721312802
322	0.6719841206
323	0.6714778895
324	0.671047832
325	0.6707793606
326	0.6705630465
327	0.6700617035
328	0.6696972158
329	0.6687031693
330	0.6684863232
331	0.6682690362
332	0.6678904714
333	0.6675349617
334	0.6664589081
335	0.6657932858
336	0.6656547656
337	0.6651478764
338	0.6649990552
339	0.6643179696
340	0.6640289892
341	0.6638671406
342	0.6635718343
343	0.66332871
344	0.662400602
345	0.6610929222
346	0.6606781681
347	0.6603725196
348	0.6593969053
349	0.6579856486
350	0.6570593235
351	0.6567083829
352	0.6543417942
353	0.6536976079
354	0.6533560811
355	0.6528190978
356	0.6512882199
357	0.6509272436
358	0.6491759417
359	0.6486819422
360	0.6475290778
361	0.6472606468
362	0.6466394565
363	0.6452426615
364	0.6444550228
365	0.6439877782
366	0.6433765715
367	0.6431936959
368	0.6428303752
369	0.6426465251
370	0.6417437342
371	0.6410702989
372	0.6405607998
373	0.6400067648
374	0.6399051813
375	0.6395149281
376	0.6394299663
377	0.6392222405
378	0.6389952069
379	0.6385858614
380	0.637761741
381	0.6376249467
382	0.6367086452
383	0.6366196844
384	0.636542668
385	0.6361645122
386	0.6354438762
387	0.6348637073
388	0.6347205633
389	0.6340651032
390	0.6338553172
391	0.6323310004
392	0.6316568567
393	0.631404998
394	0.6311495165
395	0.6309264984
396	0.630151619
397	0.6299359097
398	0.6296936421
399	0.6294551643
400	0.6293065934
401	0.6290832528
402	0.6289923086
403	0.6285998075
404	0.6282282361
405	0.6278751706
406	0.6277859562
407	0.627482277
408	0.627151927
409	0.6268769181
410	0.6262275952
411	0.6258559696
412	0.625685972
413	0.6255805832
414	0.6254746163
415	0.6250846933
416	0.6245355406
417	0.6236354246
418	0.6232000924
419	0.6226214008
420	0.6224573816
421	0.6220349481
422	0.6215135824
423	0.6214703643
424	0.62086125
425	0.6205763757
426	0.6198615666
427	0.6196412059
428	0.6194409014
429	0.6191929087
430	0.6183945226
431	0.6180595499
432	0.6166663167
433	0.6159902389
434	0.6156079679
435	0.61536097
436	0.6153160149
437	0.6152442614
438	0.6147310703
439	0.6145288596
440	0.6144762017
441	0.6143642237
442	0.614199274
443	0.6140066391
444	0.6134364974
445	0.6132521229
446	0.6125967105
447	0.6122785614
448	0.6121359679
449	0.6119269005
450	0.6116978612
451	0.6115915238
452	0.611226948
453	0.6109198235
454	0.6105874858
455	0.6103415053
456	0.6102198444
457	0.6101478201
458	0.6100763248
459	0.609721905
460	0.6090052817
461	0.6084005239
462	0.6076686886
463	0.6073591817
464	0.6072477437
465	0.6066167319
466	0.6065071152
467	0.6063719206
468	0.6058163822
469	0.6043935615
470	0.6042714671
471	0.6036786709
472	0.6033494959
473	0.6028512629
474	0.6025027231
475	0.6020465801
476	0.6019804496
477	0.6016658524
478	0.6007452328
479	0.600110773
480	0.5997623388
481	0.5994261125
482	0.5993369304
483	0.5988171872
484	0.5984773065
485	0.5977320601
486	0.5972273283
487	0.596808267
488	0.596274804
489	0.5960908574
490	0.5958203465
491	0.5955199938
492	0.5954389629
493	0.5951602428
494	0.594718157
495	0.5942499975
496	0.5937002155
497	0.5930325995
498	0.5921299724
499	0.5914259465
500	0.5911331158
501	0.5909640637
502	0.5908791784
503	0.5899942373
504	0.5895104239
505	0.5894262089
506	0.589291336
507	0.5889372966
508	0.5881860722
509	0.587953518
510	0.5878813596
511	0.5876076496
512	0.5874784792
513	0.587085241
514	0.5861977967
515	0.5861031017
516	0.5859487532
517	0.5855749566
518	0.5847198295
519	0.584059573
520	0.5838009646
521	0.5837077677
522	0.5835111659
523	0.5831821738
524	0.5830726076
525	0.582903524
526	0.5828624121
