iter	Passed	Remaining
0	3	7700
1	4	4664
2	5	3481
3	7	3878
4	10	4136
5	12	4314
6	15	4448
7	18	4508
8	20	4503
9	22	4466
10	22	4123
11	24	4084
12	26	4076
13	28	4110
14	30	4086
15	32	4072
16	34	3967
17	36	3983
18	36	3818
19	38	3791
20	38	3672
21	40	3678
22	42	3666
23	44	3659
24	44	3554
25	46	3555
26	48	3555
27	50	3545
28	51	3474
29	52	3476
30	54	3484
31	55	3414
32	57	3424
33	57	3342
34	59	3344
35	61	3350
36	61	3276
37	62	3227
38	62	3164
39	63	3118
40	65	3111
41	67	3132
42	69	3140
43	70	3139
44	70	3082
45	72	3084
46	74	3100
47	74	3045
48	76	3047
49	78	3051
50	80	3070
51	82	3076
52	83	3076
53	85	3081
54	87	3080
55	87	3053
56	89	3062
57	90	3032
58	92	3048
59	94	3050
60	95	3048
61	97	3032
62	97	3001
63	99	3004
64	101	3010
65	102	3015
66	104	3020
67	106	3029
68	106	2991
69	108	2997
70	110	2997
71	112	3003
72	113	3007
73	115	3007
74	117	3009
75	119	3018
76	121	3023
77	121	3001
78	122	2969
79	123	2972
80	125	2975
81	127	2979
82	129	2985
83	130	2986
84	132	2992
85	134	2995
86	136	2997
87	137	2979
88	137	2957
89	139	2960
90	141	2959
91	142	2964
92	144	2971
93	145	2945
94	145	2923
95	147	2926
96	149	2930
97	151	2933
98	152	2923
99	152	2898
100	154	2900
101	155	2901
102	157	2905
103	159	2911
104	160	2890
105	160	2866
106	162	2870
107	163	2871
108	165	2874
109	166	2852
110	166	2829
111	167	2830
112	168	2816
113	170	2821
114	172	2830
115	174	2831
116	174	2815
117	176	2815
118	178	2816
119	180	2820
120	181	2821
121	182	2810
122	184	2819
123	185	2804
124	186	2804
125	188	2809
126	190	2808
127	192	2811
128	193	2800
129	194	2803
130	195	2787
131	197	2789
132	199	2794
133	200	2795
134	202	2797
135	203	2782
136	204	2784
137	206	2786
138	208	2787
139	209	2789
140	212	2798
141	214	2800
142	214	2785
143	216	2789
144	217	2779
145	219	2781
146	220	2782
147	222	2783
148	224	2786
149	225	2786
150	227	2791
151	229	2794
152	230	2784
153	232	2784
154	234	2786
155	235	2788
156	237	2793
157	239	2794
158	241	2795
159	243	2795
160	244	2796
161	246	2797
162	248	2797
163	250	2800
164	252	2802
165	253	2803
166	255	2803
167	255	2789
168	257	2791
169	259	2791
170	261	2791
171	262	2793
172	265	2800
173	267	2802
174	269	2805
175	270	2805
176	272	2806
177	274	2806
178	275	2807
179	278	2811
180	279	2810
181	281	2810
182	282	2809
183	284	2808
184	286	2809
185	288	2810
186	289	2811
187	291	2813
188	293	2812
189	295	2811
190	296	2812
191	298	2812
192	300	2812
193	302	2812
194	304	2815
195	305	2814
196	307	2815
197	309	2817
198	311	2819
199	313	2817
200	314	2819
201	316	2821
202	318	2821
203	320	2822
204	322	2822
205	324	2822
206	325	2821
207	327	2820
208	329	2820
209	331	2824
210	333	2823
211	334	2823
212	336	2822
213	338	2822
214	339	2821
215	341	2821
216	343	2825
217	345	2825
218	347	2824
219	349	2824
220	350	2824
221	352	2823
222	354	2823
223	356	2826
224	358	2824
225	359	2824
226	361	2823
227	363	2822
228	364	2821
229	366	2822
230	368	2822
231	370	2822
232	372	2821
233	373	2821
234	375	2821
235	377	2823
236	379	2823
237	381	2823
238	383	2826
239	385	2825
240	386	2824
241	389	2826
242	390	2826
243	392	2826
244	394	2826
245	396	2829
246	398	2828
247	400	2829
248	402	2829
249	404	2830
250	406	2830
251	408	2830
252	410	2832
253	412	2833
254	414	2834
255	415	2833
256	417	2833
257	419	2831
258	421	2831
259	423	2833
260	425	2833
261	426	2832
262	428	2830
263	430	2829
264	431	2827
265	433	2825
266	435	2827
267	437	2826
268	439	2825
269	440	2824
270	442	2822
271	444	2821
272	445	2821
273	447	2821
274	449	2820
275	451	2819
276	453	2818
277	454	2817
278	456	2816
279	458	2816
280	460	2818
281	462	2817
282	464	2816
283	465	2814
284	467	2814
285	469	2816
286	471	2816
287	473	2815
288	475	2816
289	477	2816
290	479	2815
291	481	2816
292	483	2817
293	485	2815
294	487	2816
295	489	2816
296	490	2815
297	493	2816
298	495	2816
299	496	2815
300	498	2815
301	500	2816
302	502	2815
303	504	2815
304	506	2814
305	508	2814
306	510	2814
307	512	2814
308	514	2815
309	516	2815
310	518	2816
311	520	2815
312	522	2815
313	524	2814
314	526	2813
315	528	2814
316	529	2813
317	531	2813
318	533	2812
319	535	2811
320	537	2811
321	539	2810
322	541	2810
323	543	2809
324	544	2808
325	546	2807
326	548	2805
327	550	2806
328	552	2805
329	554	2806
330	556	2804
331	558	2804
332	560	2804
333	562	2804
334	564	2803
335	565	2801
336	567	2801
337	569	2800
338	571	2799
339	573	2799
340	575	2799
341	577	2799
342	579	2799
343	581	2798
344	583	2797
345	585	2796
346	586	2796
347	588	2795
348	590	2794
349	592	2793
350	594	2794
351	596	2793
352	598	2793
353	600	2793
354	602	2792
355	604	2791
356	606	2792
357	608	2791
358	610	2789
359	612	2788
360	613	2786
361	615	2784
362	617	2783
363	619	2783
364	621	2782
365	622	2780
366	624	2779
367	626	2778
368	628	2778
369	630	2777
370	632	2777
371	634	2776
372	636	2776
373	638	2776
374	641	2779
375	643	2780
376	646	2781
377	648	2780
378	650	2780
379	653	2785
380	655	2784
381	657	2784
382	659	2784
383	661	2782
384	663	2781
385	664	2780
386	666	2778
387	668	2776
388	670	2775
389	672	2774
390	674	2773
391	675	2772
392	677	2771
393	679	2769
394	681	2768
395	683	2766
396	685	2766
397	687	2765
398	688	2763
399	690	2762
400	692	2760
401	693	2758
402	695	2756
403	697	2754
404	699	2754
405	701	2753
406	702	2750
407	704	2749
408	706	2747
409	708	2745
410	709	2744
411	711	2744
412	713	2742
413	715	2740
414	717	2738
415	718	2736
416	720	2735
417	722	2733
418	724	2732
419	725	2730
420	727	2728
421	729	2726
422	730	2724
423	732	2723
424	734	2722
425	736	2720
426	738	2719
427	739	2717
428	741	2715
429	743	2713
430	745	2712
431	746	2710
432	748	2709
433	750	2707
434	752	2706
435	753	2704
436	755	2702
437	757	2701
438	759	2699
439	760	2697
440	762	2695
441	764	2694
442	766	2692
443	767	2691
444	769	2689
445	771	2688
446	773	2686
447	774	2684
448	776	2683
449	778	2681
450	780	2679
451	781	2677
452	783	2675
453	785	2673
454	786	2671
455	788	2669
456	790	2668
457	792	2666
458	793	2664
459	795	2663
460	797	2661
461	798	2659
462	800	2657
463	802	2656
464	804	2654
465	805	2652
466	807	2651
467	809	2649
468	811	2648
469	813	2646
470	814	2645
471	816	2643
472	818	2641
473	820	2640
474	821	2638
475	823	2637
476	825	2635
477	827	2633
478	828	2631
479	830	2630
480	832	2628
481	833	2626
482	835	2624
483	837	2624
484	839	2621
485	841	2620
486	842	2618
487	844	2616
488	846	2614
489	848	2613
490	849	2611
491	851	2609
492	852	2606
493	854	2605
494	856	2604
495	858	2603
496	860	2601
497	862	2600
498	864	2599
499	865	2597
500	867	2594
501	869	2593
502	871	2592
503	872	2590
504	874	2588
505	876	2587
506	877	2585
507	879	2583
508	881	2581
509	883	2580
510	884	2578
511	886	2576
512	888	2575
513	890	2573
514	891	2571
515	893	2570
516	895	2569
517	897	2567
518	899	2566
519	901	2564
520	902	2562
521	904	2561
522	906	2559
523	908	2557
524	909	2556
525	911	2554
526	913	2552
527	914	2550
528	916	2548
529	918	2547
530	919	2545
531	921	2543
532	923	2541
533	925	2539
534	926	2537
535	928	2536
536	930	2534
537	932	2533
538	934	2531
539	935	2529
540	937	2528
541	939	2526
542	941	2525
543	942	2522
544	944	2521
545	946	2519
546	947	2517
547	949	2515
548	951	2514
549	952	2512
550	954	2510
551	956	2509
552	958	2506
553	959	2504
554	961	2503
555	963	2502
556	965	2500
557	967	2499
558	968	2497
559	970	2495
560	972	2493
561	974	2492
562	976	2491
563	977	2489
564	979	2487
565	981	2485
566	982	2483
567	984	2482
568	986	2480
569	987	2478
570	989	2476
571	991	2475
572	993	2473
573	995	2472
574	997	2471
575	998	2469
576	1000	2467
577	1002	2465
578	1004	2464
579	1005	2462
580	1007	2460
581	1009	2459
582	1010	2457
583	1012	2455
584	1014	2453
585	1016	2451
586	1017	2450
587	1019	2448
588	1021	2446
589	1023	2444
590	1024	2442
591	1026	2441
592	1028	2439
593	1029	2437
594	1031	2436
595	1033	2434
596	1035	2432
597	1036	2430
598	1038	2429
599	1040	2427
600	1042	2426
601	1043	2424
602	1045	2422
603	1047	2420
604	1049	2418
605	1050	2417
606	1053	2416
607	1054	2415
608	1056	2412
609	1058	2411
610	1059	2409
611	1061	2407
612	1063	2405
613	1065	2404
614	1066	2402
615	1068	2400
616	1070	2398
617	1071	2396
618	1073	2394
619	1075	2393
620	1077	2391
621	1078	2389
622	1080	2388
623	1082	2386
624	1083	2384
